1981B,1.125,snxwave,LifanWang,0.00717,NEDhost,12.0,0.0,NED,11.956158,0.019495806,LifanWang,0.07,SAB(rs)bc,0.079,0.018,NED,0.17,0.07,XWang2009,0.000080,-0.472,0.138,0.048,0.038,Arsenijevic2011
1983G,1.37,Hachinger2006,SUSPECT,0.00525,NEDhost,12.9,0.0,NED,?,?,?,0.01,?,0.146,0.034,NED,0.23,0.09,XWang2009,0.000090,?,?,?,?,?
1984A,1.294,LifanWang,LifanWang,0.00021,NEDhost,12.5,0.1,Barbon1989,12.3,0.1,Barbon1989,0.10,SB(s)a,0.142,0.033,NED,0.26,0.08,XWang2009,?,0.051,0.050,0.218,0.032,Arsenijevic2011
1986G,1.643,snxwave,LifanWang,0.00268,NEDhost,12.4,0.05,Phillips1987,11.478360,0.013242294,LifanWang,0.07,S0pec,0.495,0.115,NED,0.57,0.04,XWang2006,0.000063,-2.226,0.142,0.845,0.042,Arsenijevic2011
1989B,1.262,snxwave,LifanWang,0.00359,NEDhost,12.50,0.0,Barbon1990,11.978314,0.013898953,LifanWang,0.07,SAB(s)b,0.139,0.032,NED,0.39,0.05,XWang2009,0.000083,-0.913,0.105,0.343,0.028,Arsenijevic2011
1990N,1.138,snxwave,LifanWang,0.00447,LifanWang2006,12.64,0.07,XWang2006,12.626,0.011,LifanWang2006,0.05,SAB(rs)bc,0.112,0.026,NED,0.11,0.04,XWang2009,0.000077,0.996,0.094,0.008,0.025,Arsenijevic2011
1990O,0.96,1996AJ....112.2408H(Hamuy1996),SUSPECT(R.Lopez),0.03060,LifanWang2006,16.19,0.010,XWang2006,16.248,0.035,LifanWang2006,0.10,SBa,0.403,0.093,NED,0.05,0.04,XWang2006,?,0.170,0.097,0.032,0.010,HickenPhD2009
1991bg,1.857,snxwave,?,0.00464,NEDhost,14.58,0.08,XWang2006,14.125515,0.0077049866,LifanWang,0.10,E1,0.176,0.041,NED,0.04,0.07,XWang2006,0.000080,-1.377,0.057,0.290,0.034,Arsenijevic2011
1991F,?,?,LifanWang,0.00660,NEDhost,?,?,?,?,?,?,?,?,0.039,?,NED,?,?,?,?,?,?,?,?,?
1991M,1.51,Hachinger2006,LifanWang,0.00756,NEDhost,13.63,0,NED,?,?,?,0.10,?,0.163,0.038,NED,0.087,0.056,Jha2007,?,-1.082,0.239,0.018,0.089,Arsenijevic2011
1991S,1.04,1996AJ....112.2408H(Hamuy1996),SUSPECT(R.Lopez),0.05552,NEDhost,17.66,0.07,Kowalski2008,18.013877,0.097924664,LifanWang,0.10,Sb,0.113,0.026,NED,0.042,0.033,Jha2007,?,?,?,?,?,?
